都道府県市区町村コード,市区町村名,基準メッシュコード,備考
32202,浜田市,52320191,
32202,浜田市,52320192,
32202,浜田市,52320193,
32202,浜田市,52320194,
32202,浜田市,52320195,
32202,浜田市,52320196,
32202,浜田市,52320197,
32202,浜田市,52321000,
32202,浜田市,52321001,
32202,浜田市,52321002,
32202,浜田市,52321003,
32202,浜田市,52321004,
32202,浜田市,52321005,
32202,浜田市,52321006,
32202,浜田市,52321007,
32202,浜田市,52321008,
32202,浜田市,52321009,
32202,浜田市,52321010,
32202,浜田市,52321011,
32202,浜田市,52321012,
32202,浜田市,52321013,
32202,浜田市,52321014,
32202,浜田市,52321015,
32202,浜田市,52321016,
32202,浜田市,52321017,
32202,浜田市,52321018,
32202,浜田市,52321019,
32202,浜田市,52321020,
32202,浜田市,52321021,
32202,浜田市,52321022,
32202,浜田市,52321023,
32202,浜田市,52321024,
32202,浜田市,52321025,
32202,浜田市,52321026,
32202,浜田市,52321027,
32202,浜田市,52321028,
32202,浜田市,52321029,
32202,浜田市,52321030,
32202,浜田市,52321031,
32202,浜田市,52321032,
32202,浜田市,52321033,
32202,浜田市,52321034,
32202,浜田市,52321035,
32202,浜田市,52321036,
32202,浜田市,52321037,
32202,浜田市,52321038,
32202,浜田市,52321039,
32202,浜田市,52321040,
32202,浜田市,52321041,
32202,浜田市,52321042,
32202,浜田市,52321043,
32202,浜田市,52321044,
32202,浜田市,52321045,
32202,浜田市,52321046,
32202,浜田市,52321047,
32202,浜田市,52321048,
32202,浜田市,52321049,
32202,浜田市,52321050,
32202,浜田市,52321051,
32202,浜田市,52321052,
32202,浜田市,52321053,
32202,浜田市,52321054,
32202,浜田市,52321055,
32202,浜田市,52321056,
32202,浜田市,52321057,
32202,浜田市,52321058,
32202,浜田市,52321059,
32202,浜田市,52321060,
32202,浜田市,52321061,
32202,浜田市,52321062,
32202,浜田市,52321063,
32202,浜田市,52321064,
32202,浜田市,52321065,
32202,浜田市,52321066,
32202,浜田市,52321067,
32202,浜田市,52321068,
32202,浜田市,52321069,
32202,浜田市,52321070,
32202,浜田市,52321071,
32202,浜田市,52321072,
32202,浜田市,52321073,
32202,浜田市,52321074,
32202,浜田市,52321075,
32202,浜田市,52321076,
32202,浜田市,52321077,
32202,浜田市,52321078,
32202,浜田市,52321079,
32202,浜田市,52321080,
32202,浜田市,52321081,
32202,浜田市,52321082,
32202,浜田市,52321083,
32202,浜田市,52321084,
32202,浜田市,52321085,
32202,浜田市,52321086,
32202,浜田市,52321087,
32202,浜田市,52321088,
32202,浜田市,52321089,
32202,浜田市,52321090,
32202,浜田市,52321091,
32202,浜田市,52321092,
32202,浜田市,52321093,
32202,浜田市,52321094,
32202,浜田市,52321095,
32202,浜田市,52321096,
32202,浜田市,52321097,
32202,浜田市,52321098,
32202,浜田市,52321099,
32202,浜田市,52321100,
32202,浜田市,52321101,
32202,浜田市,52321102,
32202,浜田市,52321103,
32202,浜田市,52321104,
32202,浜田市,52321105,
32202,浜田市,52321106,
32202,浜田市,52321107,
32202,浜田市,52321110,
32202,浜田市,52321111,
32202,浜田市,52321112,
32202,浜田市,52321113,
32202,浜田市,52321114,
32202,浜田市,52321115,
32202,浜田市,52321116,
32202,浜田市,52321117,
32202,浜田市,52321118,
32202,浜田市,52321120,
32202,浜田市,52321121,
32202,浜田市,52321122,
32202,浜田市,52321123,
32202,浜田市,52321124,
32202,浜田市,52321125,
32202,浜田市,52321126,
32202,浜田市,52321127,
32202,浜田市,52321128,
32202,浜田市,52321130,
32202,浜田市,52321131,
32202,浜田市,52321132,
32202,浜田市,52321133,
32202,浜田市,52321134,
32202,浜田市,52321135,
32202,浜田市,52321136,
32202,浜田市,52321137,
32202,浜田市,52321138,
32202,浜田市,52321139,
32202,浜田市,52321140,
32202,浜田市,52321141,
32202,浜田市,52321142,
32202,浜田市,52321143,
32202,浜田市,52321144,
32202,浜田市,52321145,
32202,浜田市,52321146,
32202,浜田市,52321147,
32202,浜田市,52321148,
32202,浜田市,52321149,
32202,浜田市,52321150,
32202,浜田市,52321151,
32202,浜田市,52321152,
32202,浜田市,52321153,
32202,浜田市,52321154,
32202,浜田市,52321155,
32202,浜田市,52321156,
32202,浜田市,52321157,
32202,浜田市,52321158,
32202,浜田市,52321159,
32202,浜田市,52321160,
32202,浜田市,52321161,
32202,浜田市,52321162,
32202,浜田市,52321163,
32202,浜田市,52321164,
32202,浜田市,52321165,
32202,浜田市,52321166,
32202,浜田市,52321167,
32202,浜田市,52321168,
32202,浜田市,52321169,
32202,浜田市,52321170,
32202,浜田市,52321171,
32202,浜田市,52321172,
32202,浜田市,52321173,
32202,浜田市,52321174,
32202,浜田市,52321175,
32202,浜田市,52321176,
32202,浜田市,52321177,
32202,浜田市,52321178,
32202,浜田市,52321179,
32202,浜田市,52321180,
32202,浜田市,52321181,
32202,浜田市,52321182,
32202,浜田市,52321183,
32202,浜田市,52321184,
32202,浜田市,52321185,
32202,浜田市,52321186,
32202,浜田市,52321187,
32202,浜田市,52321188,
32202,浜田市,52321189,
32202,浜田市,52321190,
32202,浜田市,52321191,
32202,浜田市,52321192,
32202,浜田市,52321193,
32202,浜田市,52321194,
32202,浜田市,52321195,
32202,浜田市,52321196,
32202,浜田市,52321197,
32202,浜田市,52321198,
32202,浜田市,52321199,
32202,浜田市,52321232,
32202,浜田市,52321233,
32202,浜田市,52321234,
32202,浜田市,52321241,
32202,浜田市,52321242,
32202,浜田市,52321243,
32202,浜田市,52321244,
32202,浜田市,52321246,
32202,浜田市,52321247,
32202,浜田市,52321251,
32202,浜田市,52321252,
32202,浜田市,52321253,
32202,浜田市,52321254,
32202,浜田市,52321255,
32202,浜田市,52321256,
